Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cl. 187A # 8-46,Tibabita,-74.02949999999998,4.764099999999985,No VIS,Abril,Usaquén,41284,Terrazze 187
Cr. 8D # 192-40,Tibavita,-74.030030576,4.769384623999997,No VIS,Abril,Usaquén,41312,Edificio San Rafael
Cl. 170 # 69-45,Britalia Norte,-74.06527077099997,4.758867711999983,No VIS,Abril,Suba,41325,Baviera
Cl. 167D # 8-33,Santa Teresa,-74.02569999999997,4.744700000000023,No VIS,Abril,Usaquén,41326,Íkona 167
Cr. 73 # 152B-65,Gratamira,-74.06721832300002,4.74174573800002,No VIS,Abril,Suba,41330,Veramonte - Teca
Cl. 183 # 7A-41,San Antonio,-74.02782263799998,4.760021294000012,No VIS,Abril,Usaquén,41336,Ladera 183
Cr. 58BBis # 128B-14,Las Villas,-74.07060000000001,4.716999999999984,No VIS,Abril,Suba,41342,Axxes 128
Cl. 165B # 56B-20,Cantalejo,-74.05893803800001,4.748534016999997,No VIS,Abril,Suba,41368,Itzatá Reservado
Cl. 152C # 73-75,Gratamira,-74.070166486,4.743575244999988,No VIS,Abril,Suba,41374,Veramonte - Ébano
Cr. 72BIS # 152B-25,Gratamira,-74.06930114599999,4.742706795000004,No VIS,Abril,Suba,41375,Veramonte - Olmo
Cr. 63 # 103C-18,Andes,-74.06660926500001,4.691450099999997,No VIS,Abril,Suba,41377,Torre Andes
"Vda. La Balsa, Guaymaral",Guaymaral,-74.06951188199997,4.820154909999985,No VIS,Abril,Suba,41389,Naples Condominio
Cr. 56 # 167A-03,Cantalejo,-74.05940005100001,4.75035348900002,No VIS,Abril,Suba,41392,Mawa¡
Cr. 58B # 129A-23,Ciudad Jardín Norte,-74.06965343799999,4.719132698999999,No VIS,Abril,Suba,41398,Osaka
Cr. 56 # 160-57,Cantalejo,-74.059181701,4.743302944999982,No VIS,Abril,Suba,41399,Torres de Cantalejo
Cl. 128C # 47-04,Prado Veraniego,-74.055587204,4.715105282000024,No VIS,Abril,Suba,41402,Prado 128
Cr. 80 # 146F-64,Casablanca,-74.076982305,4.737271353999972,No VIS,Abril,Suba,41404,Terra Vista 147
Cr. 58C # 147-36,Colina Campestre,-74.06049999999999,4.738600001000009,No VIS,Abril,Suba,41417,Carrá
Cr. 54A # 169-71,Britalia Norte,-74.05373969200002,4.752550815999996,No VIS,Abril,Suba,41418,Verona 170
Cl. 135 # 47-54,Spring,-74.05399999999997,4.721699999999998,No VIS,Abril,Suba,41429,La Esperanza
Cl. 135 # 45A-55,Spring,-74.05520259500003,4.72124074200002,No VIS,Abril,Suba,41431,Spring Art
Tv. 53D # 129-50,Las Villas,-74.06369999999998,4.716499999000007,No VIS,Abril,Suba,41436,Nueva Colina - Amonte
Tv. 53D # 129-50,Las Villas,-74.06369999999998,4.716499999000007,No VIS,Abril,Suba,41437,Nueva Colina - Turó
Cr. 9A # 63-18,Chapinero,-74.06136362000001,4.649029428000006,No VIS,Abril,Chapinero,41463,Lourdes 63
Cr. 14 # 33-50,Parque Bavaria,-74.069366291,4.621828380000011,No VIS,Abril,Santa Fe,41465,33 DC
Cr. 35 # 54-28,Nicolas de Federman,-74.07963145100001,4.645037349000006,No VIS,Abril,Teusaquillo,41466,Metropolitan Park
Dg. 60A # 22A-59,San Luis,-74.07139999999998,4.647399999000015,No VIS,Abril,Teusaquillo,41467,Varenna Aptos
Dg. 54 # 24-57,Galerias,-74.07328586,4.64466834000001,No VIS,Abril,Teusaquillo,41468,CRZ-4
Cr. 77BBis # 78-45,San Jose de la Granja,-74.095297835,4.697936471999981,No VIS,Abril,Engativá,41473,Marbore Reservado
Cr. 14 # 33-50,Parque Bavaria,-74.069366291,4.621828380000011,No VIS,Abril,Santa Fe,41476,33 DC Res. Estudiantiles
Cl. 52 # 14-52,Quesada,-74.06708672000002,4.639774518000024,No VIS,Abril,Teusaquillo,41477,Gallery Loft 52
Cr. 14 # 32-20,Parque Bavaria,-74.07,4.620400000000018,No VIS,Abril,Santa Fe,41478,Teik
Cl. 12A # 27-14,Ricaurte,-74.09052591300002,4.611127726999996,No VIS,Abril,Los Mártires,41480,Torre Picasso
Cl. 17 # 22-50,Paloquemao,-74.08569999999997,4.612799999999993,VIS,Abril,Los Mártires,41489,Centenari
Cl. 60 # 35A-51,Nicolas de Federman,-74.08043324099998,4.650292616000002,No VIS,Abril,Teusaquillo,41490,Edificio 8
Cl. 44 # 16-74,Palermo,-74.07070678600002,4.632455237999977,No VIS,Abril,Teusaquillo,41492,Alameda 44
Av. Cl. 26 # 37-19,El Recuerdo,-74.08553325999998,4.63247280500002,No VIS,Abril,Teusaquillo,41493,Urban 26
Cr. 116 # 78B-35,Gran Granada,-74.124788857,4.722915236999995,No VIS,Abril,Engativá,41496,Senderos de Granada
Cl. 63 # 1-05,Maria Cristina,-74.05419507900001,4.644139580000001,No VIS,Abril,Chapinero,41498,View 63
Av. Cl. 24 # 47A-25,Quinta Paredes,-74.09669449500001,4.636040662000028,No VIS,Abril,Teusaquillo,41499,Central
Cl. 72A # 57-22,San Fernando,-74.07746159700002,4.671769773999984,No VIS,Abril,Barrios Unidos,41500,Ed. El Caballero
Cl. 22ABis # 44A-72,Quinta Paredes,-74.09628892,4.633390104,No VIS,Abril,Teusaquillo,41502,Kaitoke 22
Cl. 70 Sur # 87-12,Independencia,-74.194924018,4.619755575999989,VIS,Abril,Bosa,41509,Huitaca Residencial
Cr. 72Bis # 74-66,Santa Maria del Lago,-74.09360468199998,4.690276310000002,No VIS,Abril,Engativá,41510,Santa María
Cl. 17 # 4-28,Centro,-74.06977077099998,4.602115184000013,No VIS,Abril,Santa Fe,41511,Pascal
Cl. 24 # 32-19,Gran América,-74.085590991,4.625821237000025,No VIS,Abril,Teusaquillo,41512,Eon
Dg. 59 # 23-54,San Luis,-74.07234156700002,4.646211279999989,No VIS,Abril,Teusaquillo,41514,Maikai
Cr. 50 # 61-10,Nicolas de Federman,-74.08382418899998,4.652191685999981,No VIS,Abril,Teusaquillo,41515,Torre Verne
Cl. 51 # 3-66,Chapinero Alto,-74.06101191699997,4.63563149700002,No VIS,Abril,Chapinero,41516,Torres de Adar lll
Cl. 22 # 104-40,La Giralda,-74.14329509499998,4.679373698999996,No VIS,Abril,Fontibón,41520,Edificio Mandarino
Cr. 50 # 57B-42,Nicolas de Federman,-74.08504192700002,4.649110177000011,No VIS,Abril,Teusaquillo,41525,Eva 57 Nicolás
Cr. 82A # 69-05 Sur,Islandia,-74.19399264200001,4.615282093000019,VIS,Abril,Bosa,41527,Parque Primaveral
Cr. 5 # 16-58,Veracruz,-74.07090329099998,4.602214644000014,No VIS,Abril,Santa Fe,41529,Da Vinci Apartaestudios
Cr. 31 # 4-31,Veraguas,-74.10140433999999,4.604946186000006,No VIS,Abril,Puente Aranda,41531,Veraguas Reservado
Cl. 7 # 2-39,La Candelaria,-74.07312606199997,4.592884775000016,No VIS,Abril,La Candelaria,41532,Ed. Comuneros
Cr. 113 # 19A-11,Fontibon,-74.15080905600001,4.683909399000015,VIS,Abril,Fontibón,41533,Lares Fontibón II - Vis
Cl. 64D # 112B-84,Engativa,-74.13521833700003,4.706092620999982,No VIS,Abril,Engativá,41534,La Baita
Cr. 98A # 22A-13,La Giralda,-74.13990299900001,4.676580348000016,No VIS,Abril,Fontibón,41535,Hyntiba 98
Tv. 3A # 54A-24,Chapinero,-74.0599992,4.640328630999988,No VIS,Abril,Chapinero,41537,Chapinero Hub
Cl. 60Bis # 1-64,Chapinero Alto,-74.05652077399998,4.642929951999974,No VIS,Abril,Chapinero,41538,Origami 60
Cr. 47 # 22A-36,Quinta Paredes,-74.09696646499998,4.634829361000016,No VIS,Abril,Teusaquillo,41540,Espacio 47
Cl. 58Bis # 10-19,Chapinero,-74.06398404499998,4.644590825000023,VIS,Abril,Chapinero,41541,Living 58
Av. Cr. 6 # 68A-05,Marsella III,-74.12424003799998,4.62781484300001,No VIS,Abril,Kennedy,41542,Boreal
Cr. 7 # 61-24,Chapinero,-74.06033622400003,4.646359597000014,No VIS,Abril,Chapinero,41543,Torres de Adar IV ..
Cr. 123A # 77B-85,Gran Granada,-74.13431576900001,4.724564828999974,No VIS,Abril,Engativá,41544,Tinguazul
Cl. 78 # 76-40,La Granja,-74.09449999999998,4.697000000999992,No VIS,Abril,Engativá,41545,Jardines de La Granja
Cr. 68D # 57H-65 Sur,Villa del Rio,-74.16031457399998,4.597353912000017,VIS,Abril,Bosa,41546,Senderos de Madelena ll
Cr. 78Bis # 76-75,La Granja,-74.09712729699999,4.696929983000018,No VIS,Abril,Engativá,41547,Cadiz
Cl. 22 # 44A-42,Quinta Paredes,-74.09709328999998,4.632002414999988,No VIS,Abril,Teusaquillo,41548,Pinesloft
Cl. 1 # 32B-80,Santa Matilde,-74.108682918,4.600974484000005,No VIS,Abril,Puente Aranda,41549,Boreal Santa Matilde
Cl. 3 # 36-56,Veraguas,-74.10728305999999,4.608803533000014,VIP,Abril,Puente Aranda,41550,Oporto Club Res
Cl. 3 # 36-56,Veraguas,-74.10728305999999,4.608803533000014,VIS,Abril,Puente Aranda,41550,Oporto Club Res
Cl. 82Bis # 27-34,Polo Club,-74.064443455,4.67127631599999,No VIS,Abril,Barrios Unidos,41552,Udara Polo
Cr. 67 # 67F-79,Jose Joaquin Vargas,-74.08619927900003,4.676116658000012,No VIS,Abril,Barrios Unidos,41553,Torres de las Lajas
Cl. 34 # 7-59,Centro,-74.067727892,4.621551077999982,No VIS,Abril,Santa Fe,41554,Citadinno
Cr. 24 # 61D-78,San Luis,-74.07262451999998,4.649115703999996,No VIS,Abril,Teusaquillo,41555,Armonía
Dg. 60A # 22A-70,San Luis,-74.07245687099999,4.647568852000006,No VIS,Abril,Teusaquillo,41556,Camino de San Luis
Cr. 15 # 48-21,Palermo,-74.06839597599998,4.635931087000017,No VIS,Abril,Teusaquillo,41557,Urbano 48 - Vis
Cr. 116 # 19-45,San Pablo,-74.15363188700002,4.686817494000024,VIS,Abril,Fontibón,41558,Bonaire Club Residencial
Cl. 22B # 44-05,Quinta Paredes,-74.09497429499999,4.632678882999983,No VIS,Abril,Teusaquillo,41559,Ed. Avila
Cr. 45A # 94-26,La Castellana,-74.05874940199999,4.682438147000028,No VIS,Abril,Barrios Unidos,41560,ADN Microliving Castellana
Cl. 60 # 9-34,Chapinero,-74.06247961600002,4.646406108999997,No VIS,Abril,Chapinero,41561,Urban 9-60
Cr. 13 # 53-75,Chapinero,-74.06527282100001,4.641021145000025,No VIS,Abril,Chapinero,41562,Viao 53
Cr. 10 # 54A-31,Chapinero,-74.063911556,4.641398504999984,No VIS,Abril,Chapinero,41563,Open 10k
Cr. 26 # 49-26,Galerias,-74.075738548,4.638304283000025,No VIS,Abril,Teusaquillo,41564,Vivo
Cr. 27 # 24B-45,Usatama,-74.07924876300001,4.622888208000006,No VIS,Abril,Los Mártires,41565,Fiori
Cl. 25 Sur # 68H-74,Carvajal,-74.13311299399999,4.612635325999975,No VIS,Abril,Kennedy,41566,Vival del Carvajal
Dg. 53D # 22A-25,Galerias,-74.07278541699998,4.643460760999972,No VIS,Abril,Teusaquillo,41568,Proyecto Silver
Cl. 58Bis # 9-49,Chapinero,-74.06359593799999,4.644445564000023,No VIS,Abril,Chapinero,41570,Almagro
Cl. 6 # 18-04,La Estanzuela,-74.08809828,4.599893491999978,No VIS,Abril,Los Mártires,41571,Aruma
Cl. 22 # 102-49,La Cabaña,-74.14240167499997,4.677648470999998,VIS,Abril,Fontibón,41572,Jitaku
Cr. 116 # 77B-35,Villas de Granada,-74.12569861100002,4.722013268000012,No VIS,Abril,Engativá,41574,Caminos de Granada
Cl. 14A # 123-25,El Recodo,-74.167965676,4.681645343000014,VIP,Abril,Fontibón,41575,El Poblado Aptos
Cl. 61 # 9-65,Chapinero,-74.06246917200002,4.646821854999985,No VIS,Abril,Chapinero,41576,Ed. Manuel Franco
Cr. 38 # 12A-21,Zona Industrial,-74.09985304100002,4.619474641000011,No VIS,Abril,Puente Aranda,41577,38 Plus
Cl. 78B # 123A-35,Villas de Granada,-74.13164464599998,4.723477258999992,No VIS,Abril,Engativá,41578,Reserva de Granada V
Cl. 12 # 25A-12,Ricaurte,-74.08969359000002,4.609619353000028,VIS,Abril,Los Mártires,41581,Torres De Vicino
Tv. 27 # 57-12,San Luis,-74.07400658,4.645702948999997,No VIS,Abril,Teusaquillo,41582,Batlló Edificio
Cr. 16 # 60-52,San Luis,-74.06692208999999,4.647954023000011,No VIS,Abril,Teusaquillo,41583,Nou 60
Cr. 20 # 50-12,Galerias,-74.071636711,4.638482204000013,No VIS,Abril,Teusaquillo,41584,Yambú
Av. Cl. 22 # 97B-27 (sala),Saturno,-74.14035200000001,4.675215999999978,No VIS,Abril,Fontibón,41587,Zafiro
Cl. 22G # 96I-85,El Cortijo,-74.13840900000002,4.675542000000007,No VIS,Abril,Fontibón,41588,Los Angeles
Cl. 6 # 39-72,comuneros,-74.10641900000002,4.613631999999996,VIS,Abril,Puente Aranda,41589,Primavera 6-39
Cl. 4B # 34A-85,comuneros,-74.10479700000002,4.608813999999995,VIP,Abril,Puente Aranda,41590,Mazzaro
Cl. 4B # 34A-85,comuneros,-74.10479700000002,4.608813999999995,VIS,Abril,Puente Aranda,41590,Mazzaro
Cr. 5 # 18-10,Veracruz,-74.07041199999998,4.603554999999972,No VIS,Abril,Santa Fe,41591,Arte K 5-18
Cr. 9 # 16-62,Veracruz,-74.074071,4.604056000000014,No VIS,Abril,Santa Fe,41592,Veradomo
Cl. 24 # 7-43,Alameda,-74.07063799999997,4.610091000000011,No VIS,Abril,Santa Fe,41593,Go Life & Work
Cl. 13 # 58-63,Chapinero,-74.06453099999999,4.645329000000004,No VIS,Abril,Chapinero,41594,Latitud 58
Cr. 38A # 25B-66,El Recuerdo,-74.08659899999998,4.632757000000026,No VIS,Abril,Teusaquillo,41595,Latitud 26
Cl. 16 # 4-74,Las Aguas,-74.07086099999998,4.601743999999996,No VIS,Abril,Santa Fe,41597,Torre Nexus
Cl. 72F # 113A-21,Granada,-74.12916899999999,4.716645000000028,VIS,Abril,Engativá,41598,Montecarlo VII
Tr. 113 # 66-92,Villa Gladys,-74.13494800000001,4.707872000000009,VIS,Abril,Engativá,41599,Habitat 113
Cl. 69B Sur # 77J-25,San Pablo,-74.19084800000002,4.599611999999979,No VIS,Abril,Bosa,41600,Cubo 69
Cr. 16 # 58A-62,San Luis,-74.06745999999998,4.646141,No VIS,Abril,Teusaquillo,41601,Makapi Epic
Cr. 9 # 23-30,Centro Internacional,-74.07105100000001,4.609695999999985,No VIS,Abril,Santa Fe,41602,Torre Evoca
Cr. 22 # 22C-05,Primavera,-74.08065599999998,4.618094999999982,No VIS,Abril,Los Mártires,41603,Renova 22
Cr. 30 # 63F-17,El Rosario,-74.07836800000001,4.656903,No VIS,Abril,Barrios Unidos,41604,Manzana 3
Cl. 62 # 24-27,Galerias,-74.07304799999997,4.650079000000005,No VIS,Abril,Teusaquillo,41605,Balcones del Campin 3
Tr. 128 # 17-99,Puente Grande,-74.16277300000002,4.69324899999998,VIS,Abril,Fontibón,41606,Fontibón 128
Cr. 22A # 82-26,Polo Club,-74.06211557300003,4.669997032000026,No VIS,Abril,Barrios Unidos,41609,Polo 82
Cr. 84A # 71-05,La Clarita,-74.106534818,4.693515030000015,No VIS,Abril,Engativá,41610,Edificio Lotus
Cl. 67A # 113C-27,Engativa,-74.13605853899998,4.710331501999974,VIS,Abril,Engativá,41611,Oikos Varena Vis
Cl. 67A # 113C-27,Engativa,-74.13605853899998,4.710331501999974,VIP,Abril,Engativá,41611,Oikos Varena Vis
Cl. 24 # 4A-15,Las Aguas,-74.06774128900003,4.608339166999997,No VIS,Abril,Santa Fe,41612,Bauhaus 4-23
Cl. 54A # 14-53,Palermo,-74.06661584199998,4.641908500999989,No VIS,Abril,Teusaquillo,41613,Soho 54A
Cl. 3 # 30A-17,Veraguas,-74.10187136600001,4.603809630000001,No VIS,Abril,Puente Aranda,41614,Salomón III
Cr. 68 # 5-05,Trinidad Galan,-74.12411076400002,4.625377549000007,No VIS,Abril,Kennedy,41615,Iconik 68
Cr. 33 # 25A-55,El Recuerdo,-74.08576453799998,4.628656416000012,No VIS,Abril,Teusaquillo,41616,Avanzza Parque Central
Cr. 5 # 33A-09,San Martin,-74.06563902300002,4.619688972000006,No VIS,Abril,Santa Fe,41617,Cinco 33
Cr. 26 # 10-03,Ricaurte,-74.09136403500003,4.608078453000019,VIS,Abril,Los Mártires,41618,Novum Ricaurte
Cr. 123 # 15A-25,Pùeblo Viejo,-74.16424277200002,4.684879266999985,VIS,Abril,Fontibón,41619,Fontibón Reservado
Cl. 67 # 11-80,Quinta Camacho,-74.06203151900002,4.65347281999999,No VIS,Abril,Chapinero,41620,Garden Home Club
Cr. 11 # 146-91,Cedritos,-74.033302343,4.725371414999984,No VIS,Abril,Usaquén,49000,147 Square
Cl. 147 # 7G-40,Cedritos,-74.03124021000002,4.725381761999984,No VIS,Abril,Usaquén,49001,Las Palmas Apartamentos
Cl. 146 # 13-22,Cedritos,-74.03802723299998,4.726953322999975,No VIS,Abril,Usaquén,49006,Smart Home 146
Cr. 7B # 145-81,Cedritos,-74.02846727299999,4.721770489999983,No VIS,Abril,Usaquén,49008,Giralda 145
Cl. 145 # 13A-19,Cedritos,-74.039437954,4.725349269999981,No VIS,Abril,Usaquén,49009,Alborada 145
Cl. 144 # 12-78,Cedritos,-74.03786061099999,4.724166575000027,No VIS,Abril,Usaquén,49014,Acereto
Cl. 146Bis # 9-25,Cedritos,-74.03273257699999,4.724263754999981,No VIS,Abril,Usaquén,49015,Manzana Verde
Cr. 20 # 151-08,Cedritos,-74.046144792,4.733602658999985,No VIS,Abril,Usaquén,49018,Mirador del Cedro II
Cl. 145 # 12-94,Cedritos,-74.03809999999999,4.725199998999983,No VIS,Abril,Usaquén,49019,Vivaio
Cl. 145A # 16A-13,Cedritos,-74.043012664,4.727221735,No VIS,Abril,Usaquén,49021,Cedro Alto
Cl. 147 # 7G-52,Cedritos,-74.03154432100001,4.725517497999988,No VIS,Abril,Usaquén,49022,Scala 28
Cr. 19A # 151-15,Las Margaritas,-74.04570000000001,4.733200001,No VIS,Abril,Usaquén,49023,Mirador del Cedro III
Cr. 8 # 190-52,Tibabita,-74.02845096300001,4.767183774999978,No VIS,Abril,Usaquén,49024,Kolina de Santa Inés
Cr. 15 # 173-91,Alameda,-74.03731684600001,4.752061464000008,No VIS,Abril,Usaquén,49026,Alameda 170
Cl. 145 # 9-55,Cedritos,-74.03296597600001,4.72246422500001,No VIS,Abril,Usaquén,49028,Parkview 145
Cl. 170 # 8-60,Redil,-74.02540901200001,4.748800673999995,No VIS,Abril,Usaquén,49029,"Hacienda la Estancia ""Rioja"""
Cr. 12 # 147-39,Cedritos,-74.03480659600001,4.726910210000028,No VIS,Abril,Usaquén,49030,Cayena Real
Cr. 23 # 140-39,Cedritos,-74.05004218800002,4.724447091000002,No VIS,Abril,Usaquén,49032,Remanso Park
Cl. 183 # 8A-10,San Antonio,-74.02924524000002,4.760554173000003,No VIS,Abril,Usaquén,49033,Terrazze Park 183
Cl. 146 # 13-70,Cedritos,-74.04161064200002,4.727599139999995,No VIS,Abril,Usaquén,49035,Milá Apartamentos
Cl. 159 # 20A-54,Orquídeas,-74.04445269500002,4.741973841000004,No VIS,Abril,Usaquén,49038,Edificio Orquídeas 162
Cr. 11 # 188-49,San Antonio Norte,-74.032290994,4.765399162999984,No VIS,Abril,Usaquén,49039,Sin Nombre
Cr. 21A # 159-28,Estrella del Norte,-74.04645985399998,4.739657646000012,No VIS,Abril,Usaquén,49042,Ed. Ferreiros
Cl. 163A # 7B-39,San Cristobal,-74.02450802200002,4.738480922999997,No VIS,Abril,Usaquén,49043,Ed. Toledo 163
Cr. 21 # 159-71,Estrella del norte,-74.04609649100001,4.739954528999988,No VIS,Abril,Usaquén,49044,Sky 21 Aptos
Cl. 168 # 7-51,Santa Teresa,-74.023624869,4.745457987999998,No VIS,Abril,Usaquén,49045,Montecarlo 168
Cl. 161A # 16C-59,Toberín,-74.04051876900002,4.740674811000019,No VIS,Abril,Usaquén,49046,Morein Aptos
Cl. 170 # 7-65,Santa Teresa,-74.02352955499998,4.746421478999992,No VIS,Abril,Usaquén,49048,Dos Torres 170
Cl. 170 # 8-60,Redil,-74.02540901200001,4.748800673999995,VIS,Abril,Usaquén,49049,"Hacienda La Estancia ""Navarra"""
Cr. 60 # 66-31,Modelo,-74.08460000000002,4.667400000999976,No VIS,Abril,Barrios Unidos,50335,Vista al Parque del Salitre
Cr. 13A # 28-21,Centro Internacional,-74.070997895,4.616865497999982,No VIS,Abril,Santa Fe,50600,Museo Parque Central Fase II
Cr. 14 # 108B-11 Sur,Brazuelos,-74.11962610299997,4.492503666999994,VIS,Abril,Usme,50693,Conjunto Residencial Parque Cantarrana
Tv. 60 0 # 59-24 Sur,Madelena,-74.15533584100001,4.583557573000007,No VIS,Abril,Ciudad Bolívar,50730,Altos de Madelena
Cl. 32 # 6A-15,San Martin,-74.06705770899998,4.618335473999991,No VIS,Abril,Santa Fe,50746,Equilibrium
Tv. 65 Sur # 59-35 Sur,Madelena,-74.15565151999999,4.584739400999979,No VIS,Abril,Ciudad Bolívar,50754,Santa Elena Reservado
Av. Cr. 1 # 59-21,Chapinero Alto,-74.05829999999997,4.643100000999993,No VIS,Abril,Chapinero,50843,Omega 59
Cr. 21 # 24-89 Sur,Olaya,-74.10644022000002,4.582953456999974,No VIS,Abril,Rafael Uribe Uribe,50846,Torre Olaya Plaza
Cr. 5 # 20-39,Centro,-74.07026145200001,4.605086889000006,No VIS,Abril,Santa Fe,50855,Torre Barcelona Condominio Estudiantil
Dg. 49ABisA Sur # 13J-91,Marco Fidel Suarez,-74.12529914999999,4.567100714999981,VIS,Abril,Rafael Uribe Uribe,50860,Caracas Avenida
Cr. 49 # 91-50,La Castellana,-74.06190279399999,4.679948722999995,No VIS,Abril,Barrios Unidos,50869,Castellana Plaza
Cr. 2 # 79-18 Sur,Yomasa,-74.106,4.509700000000009,VIS,Abril,Usme,50883,Senderos de la Sierra
Cr. 25 # 24C-44,Centro,-74.07749999999999,4.621300001000009,No VIS,Abril,Los Mártires,50884,Zima 26
Cl. 11 # 1-60,Centro,-74.07000721000003,4.595055249999973,No VIS,Abril,La Candelaria,50888,Antigua La Candelaria
Cl. 49 # 5-34,Chapinero Alto,-74.062587576,4.635934409000015,No VIS,Abril,Chapinero,50889,Montecarlo Village
Cr. 27 # 31A-36 Sur,Libertador,-74.11685361999997,4.588115886000026,No VIS,Abril,Rafael Uribe Uribe,50903,Mirador
Cr. 24 # 71A-85,Alcazares,-74.06813534399998,4.662819615999979,No VIS,Abril,Barrios Unidos,50905,72 Hub
Cr. 31 # 5C-10,Veraguas,-74.09983844499999,4.607419020000009,No VIS,Abril,Puente Aranda,50907,Torre Estelar
Cr. 5 # 20-39,Centro,-74.07026145200001,4.605086889000006,No VIS,Abril,Santa Fe,50913,Torre Barcelona Apartamentos
Cr. 36 # 4-71,Primavera,-74.10637967600002,4.608689259000016,No VIS,Abril,Puente Aranda,50916,Verona Parque Residencial
Cr. 35 # 63C-45,El Rosario,-74.07893041699998,4.655711940000003,No VIS,Abril,Barrios Unidos,50917,Parque El Lago
Cl. 32 # 5-21,San Martin,-74.066327925,4.617424834000019,No VIS,Abril,Santa Fe,50926,La Quinta
Cl. 33 # 6-37,Centro,-74.066461817,4.618987628000014,No VIS,Abril,Santa Fe,50929,Frontier
Cl. 48 Sur # 4-90 Este,Nueva Roma,-74.09526988300001,4.541840638999986,VIS,Abril,San Cristóbal,50938,Reserva Entre Nubes
Cl. 72A # 62-14,San Fernando,-74.08097806799998,4.674467467999989,No VIS,Abril,Barrios Unidos,50941,Nova 72
Av. Cr. 14 # 71-44,Quinta Camacho,-74.06150866000002,4.658213558999989,No VIS,Abril,Chapinero,50944,Life 72
Cl. 63D # 28A-64,7 de agosto,-74.07740000000001,4.655799999999999,No VIS,Abril,Barrios Unidos,50946,Salamanca
Cr. 12 # 32F-80 Sur,La Resureción,-74.113359135,4.569795053000007,VIS,Abril,Rafael Uribe Uribe,50948,Granjas de Santa Sofía
Cr. 6 # 48A-47,Chapinero Alto,-74.06347864700001,4.63538278599998,No VIS,Abril,Chapinero,50956,Óga 6-48
Cl. 13 Sur # 24B-89,Valvanera,-74.10144905200002,4.589918431000001,No VIS,Abril,Antonio Nariño,50958,Valvanera 24
Cl. 21 Sur # 2-31,Montebello,-74.09014397700003,4.569056859,VIS,Abril,San Cristóbal,50965,Monte Rizzo Club Residencial
Cr. 50 # 57B-80,Nicolas de Federman,-74.08500164499998,4.649212079999984,No VIS,Abril,Teusaquillo,50973,Volterra Village
Cr. 35A # 57B-14,Nicolas de Federman,-74.08005008200001,4.648023739999985,No VIS,Abril,Teusaquillo,50975,Torres de la Merced
Av. Cr. 14 # 58-26,Chapinero,-74.06503428000002,4.64515228099998,No VIS,Abril,Chapinero,50979,Vitra Art
Cl. 6 # 26-50,Ricaurte,-74.094822809,4.604607061000024,No VIS,Abril,Los Mártires,50982,Avanti Club House
Cr. 17 # 74C-04 Sur,Lucero Bajo,-74.14054533799998,4.541237729999978,VIS,Abril,Ciudad Bolívar,50985,Conjunto Residencial San Joaquín
Cl. 31 Sur # 9C-51 Este,Ramajal,-74.081976327,4.558064478999995,VIS,Abril,San Cristóbal,50986,Camino de los Andes
Cr. 11 # 48K-20 Sur,Provendecia Alta,-74.11720849599999,4.559305187000007,VIS,Abril,Rafael Uribe Uribe,51004,Portal de Molinos III
Cr. 10 # 15-64 Sur,Ciudad Jardin Sur,-74.09249999999997,4.579700000999992,No VIS,Abril,Antonio Nariño,51007,Edificio Jardines 15-64
Cl. 35 Sur # 26-74,Claret,-74.11891972900003,4.585118426000008,No VIS,Abril,Rafael Uribe Uribe,51010,Victoria Place
Cr. 24D # 2-30 Sur,La Fraguita,-74.09836722900002,4.594311226000002,No VIS,Abril,Antonio Nariño,51012,Dimito Park Club Residencial
Cl. 31 Sur # 26D-53,Libertador,-74.11485618400002,4.586262922000003,No VIS,Abril,Rafael Uribe Uribe,51013,Albina Park
Cl. 31 Sur # 26D-53,Libertador,-74.11485618400002,4.586262922000003,VIS,Abril,Rafael Uribe Uribe,51013,Albina Park
Cr. 10 # 8-55 Sur,Ciudad Berna,-74.08929999999998,4.583500000000015,No VIS,Abril,Antonio Nariño,51020,Ten Life
Cr. 24 # 31C-09 Sur,Quiroga,-74.11504023200001,4.583140865000018,No VIS,Abril,Rafael Uribe Uribe,51027,Arandanos Conjunto Residencial
Cr. 29 # 28-49 Sur,Centenario,-74.11325227600003,4.590129504000004,No VIS,Abril,Antonio Nariño,51028,Saloni
Cr. 13 # 9-12 Sur,Ciudad Berna,-74.09273007399997,4.586325357000021,No VIS,Abril,Antonio Nariño,51031,Capital Berna III
Cl. 11 Sur # 10A-08,Ciudad Berna,-74.09108250600002,4.582989053999995,No VIS,Abril,Antonio Nariño,51032,Capital Berna IV
Dg. 31Bis Sur # 26D-36,Centenario,-74.11575665200002,4.587794760000008,No VIS,Abril,Rafael Uribe Uribe,51036,Santa Maria del Progreso
Cl. 29 Sur # 29-03,Centenario,-74.11487107699998,4.589477992000013,No VIS,Abril,Antonio Nariño,51037,Altos 29
Cl. 59 Sur # 60-63,Madelena,-74.156482455,4.587996897999972,VIS,Abril,Ciudad Bolívar,51038,Torres de San Rafael
Cr. 78 # 11C-21,Castilla,-74.13497140800001,4.646942276999994,No VIS,Abril,Kennedy,51045,Bosques de Alsacia III
Dg. 49C Sur # 11-60,Molinos,-74.12053066599998,4.561464759999978,VIS,Abril,Rafael Uribe Uribe,51052,Terrazas de Molinos
